amount,rooted,emulator,new_beneficiary,unusual_location,late_night,high_frequency,typing_speed,hesitation_time,cancelled_attempts,rapid_retries,fraud
23257,0,0,1,1,0,1,58.8064984929925,0.4642683784234497,3,1,1
24310,0,0,0,1,0,0,86.62393233743182,3.682010546523295,5,0,0
74075,1,1,1,0,0,0,51.49580899769326,1.597752877547014,1,0,1
82808,0,1,0,0,1,1,80.65725520665538,1.650740324737208,1,0,1
9278,0,0,1,1,0,0,82.85023606067776,1.1290625996030945,0,1,0
86817,0,1,1,1,0,0,77.0897305654015,3.239861573372447,4,0,1
12195,1,0,0,0,0,0,95.45604061363419,4.779069095104587,4,0,0
63714,0,1,0,0,0,0,49.91031456224047,4.093191066747297,3,0,0
86789,1,1,1,0,0,0,65.51002833983046,4.620506619339116,2,1,1
39109,1,1,1,1,1,1,45.54659093733048,4.653741920225848,5,1,1
8581,0,1,0,1,0,1,74.95566410376482,0.007728974054739268,4,1,1
38054,0,0,0,0,0,0,65.06467970359523,3.121629266311481,4,1,0
51224,1,1,1,1,1,0,106.33331089423507,4.65044126934942,3,0,1
61238,1,0,0,1,0,1,85.15303344555363,2.757050297219293,3,1,1
48994,1,0,1,0,1,1,79.44331927488727,3.400927787872476,1,0,1
40784,1,0,1,1,0,1,88.22233182464845,2.1836649159240027,1,0,1
2578,1,0,1,1,0,0,59.70984290428919,4.259263179501796,0,1,1
62602,0,0,1,0,0,0,77.2597995496278,0.8166169045539562,0,1,0
67573,1,1,1,0,1,1,39.44978137705305,0.4605946824530699,4,0,1
2705,0,1,1,1,0,1,58.634613151362466,1.863149143141754,4,1,1
48200,1,0,1,1,1,0,81.5240276017948,0.39442515797729394,3,0,1
5268,0,0,0,0,1,1,94.58645242531219,0.707945409018384,3,1,0
87548,1,1,0,1,0,1,98.79380743637995,0.7874540199323982,0,0,1
39514,0,0,1,0,0,1,66.07510915472602,0.02475267458070418,0,1,0
33169,0,1,0,0,0,0,79.96253108667875,4.070497771981244,0,1,0
13996,1,0,1,0,1,1,66.91100075997934,4.462457333008137,5,1,1
61868,1,1,1,1,0,1,60.795105441662976,0.2004050043701988,5,0,1
12676,0,1,0,0,1,0,105.44684040571609,1.16515911058941,2,0,0
38670,0,0,0,1,1,0,56.80829776868928,1.7054381527736822,0,1,0
3571,0,1,1,0,0,0,65.41804726763975,3.991190669737663,1,1,1
26864,1,0,0,0,1,0,87.50375274836244,1.1663041378496257,5,0,0
64515,1,1,1,1,1,0,40.82907951359084,1.9961756885344384,4,1,1
52261,1,1,0,0,0,1,55.17245463217498,4.86878908117111,5,1,1
22672,1,0,1,0,0,1,61.00862276650434,4.138749759853894,2,0,0
8402,0,1,1,1,1,0,64.89340786891705,0.4983181125868641,0,1,1
30545,1,1,1,1,0,0,80.51565682579974,1.597702952059827,1,1,1
78613,1,0,0,0,1,1,70.42365040706548,2.8847814588562266,5,1,1
52266,1,1,1,0,1,1,64.94442230943514,3.4144286296274817,0,1,1
89145,1,0,1,1,1,0,58.92798343287911,3.223216472907353,5,0,1
35232,1,0,0,0,1,0,64.85627270184253,0.42199468435948406,2,0,0
77383,0,1,0,0,1,1,60.665600249936546,4.96605692266661,3,0,1
79585,1,0,1,0,0,0,86.74540788906103,0.9147699149171495,1,1,1
96364,0,1,0,1,0,0,75.78051910936637,0.8789028338773303,3,1,1
84661,1,1,1,1,1,0,86.12515439282438,1.2094477630894096,0,0,1
63345,1,0,1,1,0,0,40.631498869206084,2.053576472145819,4,1,1
10975,1,1,1,1,0,1,95.18103970310378,1.6042979168085603,3,1,1
24548,1,1,0,0,0,1,73.01914393597379,2.5601242503410844,4,1,1
70602,0,1,0,1,0,0,64.69837692599828,4.553655415828912,3,1,1
98028,0,0,0,1,1,0,53.71414219691309,0.20239361839620662,2,1,0
8120,1,0,1,1,1,0,61.400699396554955,1.9346524399704412,1,1,1
79319,0,1,1,1,0,1,88.73115886984863,4.9291887995612935,3,1,1
27276,0,0,1,0,1,1,68.63358523402911,1.2398222668347443,2,1,0
53002,1,1,0,1,1,0,70.64820450977156,4.092566190701559,4,0,1
82958,0,1,0,1,1,0,53.667840330061566,1.9599433069256411,1,0,1
98816,0,0,1,0,1,0,81.00147676270004,4.551261896827634,2,1,1
6920,1,0,0,0,1,0,36.68138946921226,3.184776257059188,0,0,0
90992,1,0,0,1,0,1,70.82435207319536,4.466377795801541,2,0,1
216,0,1,0,1,1,1,59.63051435348788,3.1735080368470694,3,0,1
87064,1,0,0,1,1,0,86.06114167159484,4.451388214443236,0,1,1
87907,1,1,1,0,1,0,72.16845916678452,4.5205210663384126,3,1,1
23429,1,1,1,1,0,1,78.08713730822996,1.497909838876517,4,0,1
50646,0,1,1,0,0,0,62.2789160108875,4.194045702458093,3,0,1
50025,1,0,0,0,1,0,74.5131431952947,4.200214549607473,1,1,1
54278,1,0,0,0,1,1,72.73774515063982,3.525359248394706,5,1,1
87949,0,0,0,0,0,1,72.15725114413492,1.205730977120119,4,1,0
18151,0,1,1,1,1,1,73.3471100611402,0.5392521994893185,0,0,1
80366,0,1,0,0,0,1,67.77531834800287,3.0901410361033843,2,0,1
71920,0,0,1,1,1,0,73.92480422578987,3.2695985833390404,5,0,1
56054,0,0,1,0,1,1,62.745291905727,4.851108270764856,2,0,1
67224,1,0,1,1,1,0,58.62486459899682,1.990795034041399,1,0,1
33837,0,0,0,1,1,1,62.72052465466879,3.6136107544526395,5,0,0
55830,1,0,1,1,0,0,83.26750104926371,4.3957815270810325,5,1,1
62633,0,0,1,0,1,0,63.14464948506448,3.9941007831606705,2,1,1
81744,1,0,0,0,0,1,87.06246345741597,2.0213947957100613,1,1,1
75460,1,0,1,1,0,1,76.68549051464859,1.197325685312121,5,1,1
93436,0,0,0,0,0,1,75.76752222874347,0.15994428641404101,3,1,0
22309,0,1,1,1,0,1,56.363043476275095,3.7904388328282885,3,1,1
43595,0,0,0,0,0,1,82.32377193244739,1.9239200587882876,2,0,0
64054,0,0,1,0,1,0,64.65497430514255,2.509294844955801,2,1,1
42567,0,1,1,0,0,1,27.445633082249522,4.91143796604332,5,1,1
49090,0,1,1,1,0,1,81.48239174404536,0.023909365242239522,1,1,1
2703,1,1,0,1,1,0,82.06660020391442,1.3775649244780315,4,0,1
95013,1,1,0,0,0,1,62.866381345415896,4.905499373667819,2,0,1
95269,1,1,0,1,0,0,79.3848137547507,2.439809501901051,4,1,1
69173,1,1,1,0,1,0,47.858858062080174,4.688298411890937,0,0,1
25949,1,1,0,1,0,1,68.50280924990747,4.257011747377634,2,0,1
48935,0,0,0,1,0,0,99.03608842469299,3.5582608068496797,0,0,0
42951,0,0,0,1,1,1,57.27014985992593,3.568736700783004,2,0,0
21844,1,0,0,0,0,1,45.15262682093842,0.02318377694969509,0,1,0
18057,1,1,1,1,0,0,69.19410257283297,1.48599615909622,0,1,1
26115,0,0,1,0,1,1,91.27736659679042,2.2043163076646453,2,0,0
75776,0,1,1,0,1,1,44.557271291882344,2.599023830070177,1,1,1
15717,0,0,1,0,0,1,67.40622680300484,2.219238094237645,0,1,0
21986,0,1,1,1,1,0,83.523941186756,2.182423515057774,5,1,1
44272,1,0,1,1,0,1,82.52326634065753,4.313065381364404,2,0,1
23786,1,0,0,0,0,0,72.28203088137009,4.848015883902085,3,0,0
30090,0,0,1,1,1,1,64.44218517382359,4.235171314829582,3,0,1
66852,0,0,0,0,0,0,76.02428066910097,3.4557659297012595,0,1,0
61383,1,0,1,0,1,1,88.06725074953154,3.6814585115401837,3,0,1
6786,1,0,0,0,1,0,61.34905508813495,3.686650536569982,1,1,0
92797,1,0,1,1,1,0,83.3768457462658,3.9985203130907845,1,1,1
55026,0,1,1,1,1,1,81.56502694956473,0.2795753351145075,5,0,1
9484,1,1,1,1,1,0,67.85489732778626,0.373919663981922,5,0,1
58063,0,0,1,0,0,1,51.69805915449829,0.48687986551494034,3,1,1
21969,0,0,0,1,0,1,58.086365124143384,4.555917594561743,3,0,0
5540,0,0,0,0,0,1,94.7090831467081,3.10897604898098,2,0,0
94866,1,0,1,0,1,1,93.02315328818459,2.2766084586145063,1,0,1
3758,1,1,1,1,1,1,75.71770892069215,3.851172241971374,2,0,1
97514,0,1,0,1,1,1,106.86310467079316,1.100541730905567,1,0,1
98108,1,0,1,0,1,0,71.21569426063809,4.0250712519355725,1,1,1
13555,0,0,1,0,1,1,51.624280019636245,1.7292882094459872,4,0,0
66209,1,0,0,1,0,1,48.636553662762594,3.172361831105971,1,1,1
34776,0,0,0,1,1,1,51.336221476761764,4.937272546046695,0,0,0
73540,0,1,0,0,1,0,76.53759385720969,0.35939146394986743,0,1,1
93567,1,1,0,1,1,1,62.76635032795383,4.787452411301221,5,1,1
61097,1,1,1,1,0,0,61.056167916060325,3.8389723609395614,0,0,1
95849,0,1,1,0,0,1,69.8511845012281,2.2271513342982563,3,0,1
68850,1,0,1,1,0,0,97.34803649188073,0.5126508496465415,5,1,1
54394,0,1,1,0,1,1,98.31341156656262,0.5584923292479793,2,0,1
51015,0,0,0,1,1,0,75.13468427043709,2.912159653589612,4,0,0
46586,0,1,1,0,1,0,83.83377371731092,2.6272461972772465,0,1,1
39363,0,1,1,0,0,0,82.8427102588243,2.676977258473054,3,0,0
62013,0,0,0,1,1,0,76.78752393959542,1.389729657924386,5,0,0
83221,0,1,1,1,1,1,53.607958868631684,0.45885691244598015,2,0,1
52743,0,0,0,1,0,0,79.16474570030913,3.997199083544924,3,0,0
65328,0,0,0,1,0,1,62.286474634481664,1.1088283855606633,5,1,1
89484,1,0,0,0,0,1,60.24625076766535,3.226945201935623,5,0,1
23674,1,0,0,1,0,0,77.96276014321658,1.8241975569395437,3,1,0
67182,0,0,0,1,0,1,95.97533985607525,3.170145873273716,2,1,1
85626,0,1,1,0,0,0,75.89058009382661,3.847059484900754,2,1,1
93274,0,1,1,0,0,0,66.07367463453065,0.9698979393402396,1,1,1
26746,1,0,1,0,0,1,66.32767826106748,0.06862526286119275,1,0,0
94219,0,0,0,1,1,1,80.58682503904603,1.395533922437956,5,0,1
864,0,0,0,0,0,1,66.85751019639714,4.806398184762535,5,1,0
90094,0,0,1,1,1,0,67.12973217355004,0.9155439863317644,0,1,1
38633,1,1,0,0,0,1,61.20940558872798,2.366694395789712,5,0,1
7402,1,0,0,1,1,0,61.67445179540648,1.8669658480909406,5,1,1
55690,1,1,0,0,1,0,86.37474146793058,1.5476840238847251,0,1,1
46727,0,1,1,0,1,0,72.3341526493095,3.654607094453435,1,1,1
87102,0,0,0,1,1,1,62.16862002625643,3.608381277395079,5,1,1
50869,1,1,0,1,0,1,71.38978378066423,3.9006627557658997,2,1,1
26319,0,0,0,1,0,1,77.9892960516451,1.6958689329711412,3,0,0
87465,1,0,1,0,1,1,56.008226982042466,1.7960366487974821,1,0,1
63744,1,1,0,1,1,1,76.43579478884327,2.7362344406562005,0,0,1
70477,0,0,1,0,0,0,79.28808737027731,0.01895233346248082,0,1,0
52672,0,0,0,1,0,0,96.30683670575804,4.769139576251794,1,1,0
98516,0,1,0,1,0,1,76.44744448381846,1.1722430839349396,1,0,1
12698,0,1,1,0,1,0,48.89404722823294,0.8618306702760614,4,1,1
25352,1,1,1,0,1,0,79.90928056425058,3.1868901219339656,4,0,1
37167,1,0,1,1,0,0,74.34090669157274,4.240519830832398,1,1,1
67873,1,1,0,0,0,1,72.18299398151606,3.209740544124438,3,1,1
52093,1,1,1,1,1,1,88.24133735801479,3.146023734386299,4,0,1
65743,1,1,1,1,0,0,77.00396081187861,2.4419410841206095,2,0,1
89055,1,1,1,1,0,0,81.00428652081659,4.453439539904568,5,1,1
34708,0,0,0,1,0,0,59.64616682009193,4.836093277345625,2,0,0
80633,1,1,1,1,1,0,77.13054779018576,2.9763213265403414,3,0,1
22681,0,1,0,1,1,1,63.31248239299152,0.39439188832708194,4,0,1
25194,0,0,0,1,0,1,63.298790829847434,0.5044206377232346,5,1,0
93394,1,1,0,1,1,0,64.22427412754179,2.096154225938169,5,0,1
42117,1,1,1,1,0,0,49.50807293947928,2.461164782217829,5,1,1
86212,0,0,1,1,1,1,65.53374046614049,3.202866118564733,1,0,1
51673,0,0,1,1,0,1,68.17154458305764,4.966772963575959,2,0,1
15718,1,0,1,0,1,1,59.926860172901485,3.539093089931822,3,1,1
91916,1,0,0,0,1,0,93.3242258452305,4.366612965241897,2,1,1
49821,0,0,1,1,1,0,70.66535904359876,4.713825950603174,1,1,1
2821,1,1,1,1,0,1,64.65960075020612,0.9783593889611486,3,1,1
56260,1,1,0,1,0,1,60.07773316965079,1.6682920767766563,4,0,1
72092,1,1,1,1,1,1,90.02806099202397,3.439888138147336,4,0,1
34764,1,1,0,0,0,0,60.94960256771138,3.2647262330050983,4,1,1
95752,1,0,0,0,0,0,71.49201973383984,2.116141864918972,5,0,0
11421,0,0,1,0,1,1,80.96842149504172,4.270414210835425,1,0,0
2921,1,0,0,1,0,1,52.369128641023224,4.904718097212458,2,0,0
67280,1,1,0,0,1,0,65.50810634554728,1.9919905408560972,5,1,1
83773,0,0,0,0,0,0,73.38194717158743,1.737076030006277,2,0,0
8690,0,0,1,0,1,0,68.59670489843887,1.4409196243532552,3,1,0
84906,1,1,1,0,1,0,76.20272116707604,2.806314272054291,1,0,1
83889,1,0,1,0,1,0,71.1140420306616,3.0611652282378725,3,0,1
71305,0,0,0,1,0,1,81.91548702759751,0.9101687494712668,1,0,0
88624,1,1,1,0,1,0,53.93367747207858,1.4100629965151312,0,1,1
11121,1,1,1,0,1,1,77.14146017245325,0.6035040589938229,0,1,1
37514,1,0,0,0,1,0,69.74977621320977,4.521982688009545,0,0,0
1812,0,1,1,1,1,1,71.12897302879972,3.2423285209595494,1,0,1
8165,1,0,1,0,0,1,75.34378410994314,2.7801173645154047,4,1,1
73666,1,1,0,0,0,1,53.03952851088309,4.6189707952421735,1,1,1
39394,0,1,1,1,1,0,65.74101317496293,4.913526565185351,0,1,1
47264,1,1,0,1,0,1,85.13555174050154,0.12428708589501236,3,1,1
21928,1,1,1,0,0,1,57.31540325320792,3.9509046509680648,5,1,1
85991,1,0,1,0,0,1,72.53365434406219,2.6941420442815227,3,0,1
60723,1,0,1,0,0,0,72.4518064122601,0.012304799162267122,2,1,1
30316,0,0,0,1,1,0,73.64372668658702,2.1481617531318182,1,1,0
16656,0,1,1,1,1,0,33.11376598791529,3.8692943753437268,0,0,1
46853,1,0,1,0,0,1,92.62101262392363,3.7140277743554257,2,1,1
96611,1,1,0,0,1,1,56.01634978807987,4.637020217345676,1,0,1
90745,1,0,1,0,1,1,90.8879692952587,3.1072028585943174,4,0,1
16381,1,1,0,0,0,1,55.76481088658506,1.1312483936688227,4,0,1
77381,0,1,1,0,0,0,76.31442206538114,3.630914227172257,3,1,1
2059,0,1,1,0,1,1,63.54424600399298,4.9061814708581455,1,0,1
31626,0,0,1,0,0,1,57.78245472635212,4.42650727574966,3,1,1
20942,1,0,1,0,1,1,109.65510674597455,0.01058998976536274,1,1,1
29865,1,0,1,1,1,1,66.33996944878847,2.158587929604201,1,0,1
61444,1,0,1,0,0,0,48.61885625395785,1.04016080967898,5,0,0
72704,0,1,0,0,0,0,91.51445305648136,2.467426986302045,5,0,0
43026,0,1,1,1,0,0,82.5616820263232,1.958993655807073,4,1,1
7410,0,1,0,1,0,0,93.38452481975011,2.810552877420174,0,0,0
42652,0,1,1,1,1,1,49.91843698362234,4.129620603967821,4,1,1
15161,0,0,0,0,0,0,56.46767478821881,3.213683931697733,5,0,0
51417,1,0,0,0,1,0,75.60492043166651,1.7895418094317965,4,1,1
66700,1,1,0,0,0,0,64.5400071518055,1.6904217973239284,0,0,0
4509,1,0,1,1,0,0,61.19362389324587,1.0499040509380475,1,1,1
6305,0,1,1,0,0,1,80.47815408403594,2.5774035383792206,2,0,1
59050,1,1,0,0,0,1,51.667581151643304,4.054773794134676,2,1,1
12193,1,1,0,0,0,1,52.00759343340134,0.005046866186754206,5,0,1
29309,0,0,0,0,0,1,74.40372058543872,3.5427507860453797,5,0,0
12884,0,1,0,1,1,0,55.33525954858105,2.535264374398075,4,1,1
32721,0,0,0,0,1,0,63.05009746762393,4.300206219253408,4,1,0
5549,1,1,0,0,0,1,73.16020700280396,2.5545229501194893,3,1,1
53361,0,0,1,0,0,0,59.839428109719506,4.394013613426216,0,1,0
61277,1,0,1,0,0,1,57.11701917539769,3.696671736194273,2,0,1
48364,1,1,0,1,0,0,89.20351310213672,2.427812457330739,3,1,1
2567,0,1,1,0,1,1,66.80000759977814,1.4923815830900127,4,0,1
38370,1,0,0,1,1,1,79.75981996166703,4.872053063241807,1,1,1
82028,0,0,0,0,1,1,61.25000448520844,1.0452422803750676,3,1,1
2210,0,0,1,0,1,0,67.61857184423403,3.89280645634934,1,1,0
68507,1,1,0,1,1,1,73.10011692847863,3.4210966732989165,3,1,1
46985,1,1,1,1,0,1,70.11957732588986,2.052911255431622,3,1,1
21367,1,0,0,0,0,1,73.5177879382133,3.591801652361026,5,0,0
77515,0,0,0,1,1,1,102.05835183171219,0.6483126057597965,2,1,1
2879,1,0,1,0,1,0,84.31124188009632,1.2052551083538314,5,1,1
61145,0,1,1,0,0,0,78.43312312915228,3.59588521135176,5,1,1
50118,0,1,1,1,0,0,86.66226671184133,0.6395845877524675,4,0,1
94189,1,0,0,0,0,1,63.653937592564695,4.530587632153596,0,0,0
90282,1,0,1,0,1,1,94.71988230525116,2.9878463715112824,2,1,1
38477,1,1,0,1,0,1,47.707636161650726,0.3554793494842723,0,0,1
23338,1,1,0,1,1,1,77.92961978740776,3.843606678699936,2,1,1
91422,0,0,1,0,1,1,90.4724322791213,2.1877031590153395,1,0,1
86841,1,0,0,0,1,0,48.72208085797273,1.4816236343068105,0,0,0
3997,0,0,1,0,1,0,71.35091882919501,2.6567622536155855,1,0,0
58881,1,1,1,1,1,1,62.114536632011344,3.7556284459722544,1,0,1
22409,1,0,0,0,1,1,50.0349282655001,4.554643365172654,1,0,0
46224,1,0,0,0,1,1,73.2322790765101,1.602076741625908,3,1,1
99532,0,0,1,1,1,1,64.89588698054325,3.4717978209796607,2,1,1
86426,1,1,1,0,1,1,86.74023377462896,1.7061704854620001,2,0,1
70281,0,1,0,1,1,1,69.12291696404763,0.06688151887594918,3,1,1
44074,1,1,1,1,0,0,53.97669434293127,4.8136760203506475,1,0,1
70101,1,0,0,0,0,1,67.68671015086038,1.4902734146603036,3,1,1
40828,0,1,0,1,0,0,62.736423656020634,2.3223448024785047,2,1,1
45535,0,1,1,0,0,0,91.96642611745976,3.2456402393022517,4,1,1
19840,1,1,0,0,0,1,75.54509766961914,3.3988398144845267,5,0,1
17439,1,1,1,1,0,0,70.09262901958046,4.113226627314593,0,1,1
6903,0,1,1,1,0,1,99.37691223196202,1.909525038686829,5,0,1
79919,1,0,0,1,1,1,74.59474852783828,3.5379009207902943,4,0,1
47343,0,0,0,0,1,1,63.656027865532394,3.076189291835287,1,1,0
3446,1,0,0,0,1,1,65.21286861521213,4.926186107232009,4,0,0
74300,0,0,1,1,1,0,78.05853917166672,3.6981656259963858,3,1,1
76223,0,0,1,0,1,1,58.8206592533953,4.723721070644507,5,0,1
5905,0,1,1,1,0,0,116.17031590457401,1.4174530956202043,3,0,1
19748,0,1,1,0,0,0,74.48720123449125,2.280264327194343,0,1,1
30756,0,0,1,0,0,1,72.45565874748685,2.6464377570015745,1,0,0
49387,1,1,1,0,0,1,42.71890358101263,4.240996889447936,2,1,1
48414,1,0,0,0,0,1,35.89295460607556,2.1235040024011664,0,1,0
54055,1,0,0,1,0,0,60.59137554915926,2.78545635691437,1,0,0
97898,1,1,0,0,0,1,61.96545285817606,0.686248236816866,5,1,1
39800,1,0,1,1,1,1,59.34012949711411,0.9623351715958667,2,1,1
5610,1,1,0,0,0,1,67.56164564742573,1.9540818469492742,5,1,1
94670,1,0,1,0,1,0,40.437566968777475,0.2524900652605111,0,0,0
93189,1,1,0,1,0,0,79.18268899655999,0.3818153479518066,3,0,1
40774,1,1,0,0,1,1,69.24241197287746,3.521223875165551,4,1,1
74553,0,1,0,1,0,1,76.84268973425719,0.3548215050075615,5,0,1
45724,0,1,0,0,0,1,74.10107952718467,0.009324724020323139,4,0,0
56845,1,1,1,0,0,1,58.216508574856334,0.3130497955498063,5,1,1
73754,0,1,1,0,0,0,75.64161169667408,3.193924883191128,0,1,1
56501,1,0,0,1,1,0,90.36019387114314,2.810558337146618,1,1,1
18599,0,0,0,0,1,1,59.02973543672583,4.073960502818534,1,0,0
43494,0,1,1,1,1,0,85.0526843265831,1.0280468636172502,2,0,1
82999,0,1,1,0,1,0,89.35442591135057,2.9464329562322633,5,0,1
36222,1,0,0,1,1,1,71.85072963625275,4.034637944136903,5,1,1
43535,1,0,0,1,1,0,67.71650039663008,3.5933278060316316,0,1,1
47212,1,0,0,1,0,1,65.9674542427923,1.5903912979664903,0,0,0
32645,1,0,0,1,0,0,71.67040396260012,3.0893376044024183,1,0,0
63218,0,0,0,0,1,1,105.07625781245139,3.658832324725147,4,1,1
33838,1,1,0,1,1,0,60.38855314785986,4.095309682266619,0,1,1
18721,0,0,1,1,1,1,78.05208657158929,4.942869161818936,0,0,1
3430,1,0,1,0,1,0,75.3888279963432,1.9977659484309802,3,1,1
96762,0,0,1,1,0,0,85.78812333654673,0.15150934284182738,2,0,0
311,0,1,1,0,1,0,69.39962252062534,2.6172680707449967,2,0,0
